Titel,Beruf,Arbeitgeber,Ort,Region,Land,PLZ,Veröffentlicht am,Eintrittsdatum,URL
Data Scientist Marketing (m/w/d),Data Scientist,Dr. Ausbüttel & Co. GmbH,Dortmund,Nordrhein-Westfalen,Deutschland,44149,2025-05-27,2025-05-28,https://www.persy.jobs/persy/l/job-fquns-b
(Senior) Data Scientist (w/m/d),Data Scientist,1 & 1 Mail & Media Applications SE,"Karlsruhe, Baden",Baden-Württemberg,Deutschland,76135,2025-05-20,2025-05-21,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001437488-S
Data Scientist (m/w/d)  - Geldanlage,Data Scientist,CHECK24,München,Bayern,Deutschland,80636,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fj9zr-b
(Senior) Data Scientist (m/w/d),Data Scientist,Hyand Group,Köln,Nordrhein-Westfalen,Deutschland,50667,2025-05-26,2025-05-26,https://www.yourfirm.de/job/detail/20250518-27682130/?utm_campaign=free&utm_source=bundesagentur&utm_medium=unpaid-partner
Senior Data Scientist (m/w/d),Data Scientist,FindYou Consulting GmbH,Berlin,Berlin,Deutschland,10178,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fqrnr-b
Data Scientist (m/w/d) Schwerpunkt Geheimhaltung,IT-Berater/in,Information und Technik Nordrhein-Westfalen (IT.NRW),Düsseldorf,Nordrhein-Westfalen,Deutschland,40476,2025-05-19,2025-06-05,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15643-01-nfjVrD-S
Data Scientist (m/w/d) mit Berufserfahrung,Data-Warehouse-Analyst/in,AMADEUS FIRE AG,Köln,Nordrhein-Westfalen,Deutschland,50672,2025-05-09,2025-05-16,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12862-220702-S
Data Consultant (m/w/d),Data Scientist,zeb,Berlin,Berlin,Deutschland,10117,2025-05-21,2025-06-21,https://studyflix.de/jobs/angebote/377792?l=704353&utm_source=ba
Data Scientist (m/w/d) mit Schwerpunkt auf Python und...,Data-Warehouse-Analyst/in,AMADEUS FIRE AG,Köln,Nordrhein-Westfalen,Deutschland,50672,2025-04-09,2025-04-16,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12862-218385-S
Data Scientist (m/w/d),Informatiker/in,iOMEDICO AG,Freiburg im Breisgau,Baden-Württemberg,Deutschland,79106,2025-04-08,2025-04-08,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001327175-S
Data Scientist (m/w/d)Informationstechnik (,Data Scientist,AOK Rheinland-Pfalz/Saarland Direktion,,Rheinland-Pfalz,Deutschland,,2025-05-07,2025-05-09,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202421048-S
jr. Data Scientist (m/w/d),Data Scientist,evocenta GmbH,Gelsenkirchen,Nordrhein-Westfalen,Deutschland,45886,2024-10-14,2025-03-11,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000754251-S
Data Scientist (m/w/d),Informatiker/in,evocenta GmbH,Gelsenkirchen,Nordrhein-Westfalen,Deutschland,45886,2024-10-09,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000738586-S
Data Scientist (w/m/d),Informatiker/in,PSI Technics GmbH,"Winningen, Mosel",Rheinland-Pfalz,Deutschland,56333,2025-03-06,2025-05-13,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1201827806-S
Data Engineer (m/w/d),Data Scientist,BioNTech SE,Mainz am Rhein,Rheinland-Pfalz,Deutschland,55131,2025-05-14,2025-05-20,https://www.jobvector.de/job/data-engineer-8b30288733d75940/?utm_source=arbeitsagentur&utm_medium=partner&utm_campaign=tmcfdae_job_jid228662&utm_content=b2c&utm_term=tmf8eca_uicff191db
Data Scientist (aGw*),Data Scientist,Lindner SE,Arnstorf,Bayern,Deutschland,94424,2024-01-22,2025-03-05,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1197574083-S
Data Scientist (m/w/d),Informatiker/in,Universitätsklinikum Aachen AöR,Aachen,Nordrhein-Westfalen,Deutschland,52074,2025-05-08,2025-05-16,https://www.jobvector.de/job/data-scientist-47c0b8d06e844e38/?utm_source=arbeitsagentur&utm_medium=partner&utm_campaign=tmcfdae_job_jid228451&utm_content=b2c&utm_term=tmf8eca_uic0dc7e4e
Data Engineer (m/w/d),Data Scientist,Hays AG,Köln,Nordrhein-Westfalen,Deutschland,,2025-03-03,2025-03-03,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-786025/1_535748LS-S
Senior Data Scientist (m/w/d),Softwareentwickler/in,Steadforce,München,Bayern,Deutschland,80686,2025-05-01,2025-05-01,https://germantechjobs.de/jobs/Steadforce-Senior-Data-Scientist-mwd?utm_source=ba_int&utm_medium=ba_int&utm_campaign=ba_int
KI-Entwickler (m/w/d),Data Scientist,Northrop Grumman LITEF GmbH,Freiburg im Breisgau,Baden-Württemberg,Deutschland,79115,2025-05-27,2025-06-27,https://studyflix.de/jobs/angebote/402036?l=705947&utm_source=ba
Senior Data Scientist (m/w/d),Wirtschaftsinformatiker/in (Hochschule),Mediengruppe Oberfranken GmbH & Co. KG,Bamberg,Bayern,Deutschland,96050,2025-05-22,2025-05-27,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17006-1311-1692625-0-S
Data Scientist - Liaison-Officer m/w/d,Data Scientist,Umweltbundesamt Dessau-Roßlau,Dessau-Roßlau,Sachsen-Anhalt,Deutschland,06844,2025-05-21,2025-07-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202576287-S
Data Scientist / Engineer (gn),Data Scientist,workidentity GmbH,Hamburg,Hamburg,Deutschland,20097,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fje0i-b
Senior Data Scientist Retail (m/w/d),Data Scientist,AVANTGARDE Experts,Köln,Nordrhein-Westfalen,Deutschland,50667,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fny64-b
Data Scientist (m/w/d) - Data Analytics Expert,Data Scientist,Ratbacher GmbH,Bielefeld,Nordrhein-Westfalen,Deutschland,33611,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fivts-b
Entwickler Datenbanken (m/w/d) / Data Scientist,Datenbankentwickler/in,socoto gmbh & co. kg,Trier,Rheinland-Pfalz,Deutschland,54292,2025-05-08,2025-05-09,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001404181-S
